fips5,place,Trump,Biden,prop_trump,total_cases,pop_est,cases_per_cap
01019,Cherokee County,10562,1619,0.8670880880059109,15835,26032,0.6082897971727105
01019,Cherokee County,10562,1619,0.8670880880059109,15835,47.029485799,336.703660075669
01021,Chilton County,16052,3056,0.8400669876491522,39545,44153,0.8956356306479741
01021,Chilton County,16052,3056,0.8400669876491522,39545,63.726498241,620.5424916092088
01023,Choctaw County,4294,3126,0.5787061994609164,8221,12841,0.6402149365314228
01023,Choctaw County,4294,3126,0.5787061994609164,8221,14.057424215,584.8155305171603
01025,Clarke County,7310,5730,0.5605828220858896,28235,23920,1.1803929765886287
01025,Clarke County,7310,5730,0.5605828220858896,28235,19.314926487,1461.8228041925863
01027,Clay County,5589,1262,0.8157933148445482,15671,13275,1.1804896421845574
01027,Clay County,5589,1262,0.8157933148445482,15671,21.979894753,712.9697469484512
01029,Cleburne County,6472,672,0.9059350503919373,11797,14987,0.7871488623473677
01029,Cleburne County,6472,672,0.9059350503919373,11797,26.757506743,440.8856218670747
01031,Coffee County,16832,5050,0.7692167077963623,37286,51909,0.7182954786260571
01031,Coffee County,16832,5050,0.7692167077963623,37286,76.45075182,487.7126661591018
01033,Colbert County,17311,7057,0.7103988837820092,43655,54762,0.797176874475001
01033,Colbert County,17311,7057,0.7103988837820092,43655,92.387121174,472.52257073560145
01035,Conecuh County,3435,2951,0.5378953961791418,11896,12277,0.96896635985990065
01035,Conecuh County,3435,2951,0.5378953961791418,11896,14.440131364,823.8152202449728
01037,Coosa County,3626,1794,0.6690036900369004,4409,10715,0.4114792347176855
01037,Coosa County,3626,1794,0.6690036900369004,4409,16.461552335,267.8362228710188
01001,Autauga County,19764,7450,0.7262438450797384,43811,55601,0.787953454074567
01001,Autauga County,19764,7450,0.7262438450797384,43811,93.534505205,468.3939889774285
01039,Covington County,14579,2717,0.8429116558741906,36991,36986,1.0001351862867032
01039,Covington County,14579,2717,0.8429116558741906,36991,35.889346469,1030.6958370487903
01041,Crenshaw County,4864,1700,0.741011578305911,12760,13824,0.9230324074074074
01041,Crenshaw County,4864,1700,0.741011578305911,12760,22.704543937,562.0020395655657
01043,Cullman County,36804,4454,0.8920451791167774,53558,83442,0.6418590158433403
01043,Cullman County,36804,4454,0.8920451791167774,53558,113.56042387,471.62557319538826
01045,Dale County,14281,5154,0.7348083354772318,37310,48956,0.7621129177220362
01045,Dale County,14281,5154,0.7348083354772318,37310,87.249907296,427.6222308572067
01047,Dallas County,5523,12228,0.31113740070981916,39517,38310,1.0315061341686245
01047,Dallas County,5523,12228,0.31113740070981916,39517,39.142243533,1009.5742204118692
01049,DeKalb County,24744,4271,0.8528002757194555,72287,71385,1.012635707781747
01049,DeKalb County,24744,4271,0.8528002757194555,72287,91.86091024,786.9179590223926
01051,Elmore County,30089,10304,0.7449062956452851,67602,81887,0.8255522854665576
01051,Elmore County,30089,10304,0.7449062956452851,67602,132.40756612,510.55994744841695
01053,Escambia County,10844,4894,0.6890329139661965,36566,36748,0.9950473495156199
01053,Escambia County,10844,4894,0.6890329139661965,36566,38.877615797,940.5412150510945
01055,Etowah County,35343,11487,0.7547085201793722,90539,102501,0.8832986995248827
01055,Etowah County,35343,11487,0.7547085201793722,90539,191.48976814,472.8137742263392
01057,Fayette County,7295,1390,0.8399539435808866,12213,16433,0.7431996592222966
01057,Fayette County,7295,1390,0.8399539435808866,12213,26.180382896,466.49432319288104
01003,Baldwin County,83055,24344,0.7733312228233038,140509,218022,0.6444716588234215
01003,Baldwin County,83055,24344,0.7733312228233038,140509,137.13854588,1024.5770005680913
01059,Franklin County,10364,2085,0.8325166680054623,43582,31363,1.3895992092593183
01059,Franklin County,10364,2085,0.8325166680054623,43582,49.474811238,880.8926989200128
